tid,image_url
tt0096775,"https://m.media-amazon.com/images/M/MV5BNDZmYTMwMmYtZTNlZS00M2M4LWJlNGUtMmQ5M2QzYWVmZDZmXkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
tt0097416,"https://m.media-amazon.com/images/M/MV5BN2U0MDYzYTYtMzc0NC00YmI4LWJjNTQtMGM0YjU5MWU1ZDAwXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
tt0097848,"https://m.media-amazon.com/images/M/MV5BNWM4ZTdiNzAtNDJlOC00NzNjLWIxMzUtMzU0ZTA2YTg0ZTc3XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
tt0098461,"https://m.media-amazon.com/images/M/MV5BYmQ0ODllZWEtYmExNC00MTIxLThlMTMtYWU4ZTllOWZjOWNhXkEyXkFqcGc@._V1_SY150_CR5,0,101,150_.jpg"
tt0098976,"https://m.media-amazon.com/images/M/MV5BY2IwYjRlNGYtZWIzYS00NTUwLThhNWEtNTZmNjQwNjFhNTI5XkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
tt0098999,"https://m.media-amazon.com/images/M/MV5BZGJmYWYyYTgtZGZhOC00N2UxLWI3OGEtOTUwZWRjYWE1MDk3XkEyXkFqcGc@._V1_SY150_CR7,0,101,150_.jpg"
tt0099040,"https://m.media-amazon.com/images/M/MV5BNmNlNDVmNjctZTI4OC00YWZkLWJiMGItNzdkYTI5ODM0NGMyXkEyXkFqcGc@._V1_SY150_CR2,0,101,150_.jpg"
tt0099080,"https://m.media-amazon.com/images/M/MV5BZDkxZGE5MWUtYWE4NC00MzFmLWFjNTYtMDFhOTczMzdhMDJiXkEyXkFqcGc@._V1_SY150_CR7,0,101,150_.jpg"
tt0099111,"https://m.media-amazon.com/images/M/MV5BNGU3NDQyNzQtYTNiYy00MGVhLThhNmMtNjIwNmI3MWM5MjM5XkEyXkFqcGc@._V1_SY150_CR5,0,101,150_.jpg"
tt0099273,"https://m.media-amazon.com/images/M/MV5BMjA5NDY2MjQ2N15BMl5BanBnXkFtZTgwNDU5MDkxNjE@._V1_SY150_CR2,0,101,150_.jpg"
tt0099338,"https://m.media-amazon.com/images/M/MV5BYmFiYzI1ZGEtODVlNi00YjgxLThmZmYtYjYyYzVhMjNkOTU3XkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
tt0099339,"https://m.media-amazon.com/images/M/MV5BYjU5NWU3N2YtOTgyZi00YjBiLWJkNjktZTUwMzlmNmJhYTlkXkEyXkFqcGc@._V1_SY150_CR3,0,101,150_.jpg"
tt0099340,"https://m.media-amazon.com/images/M/MV5BNjZmYzEyODItZTM0Yy00NjQ4LTk2OGUtOTY1ZTM4YTgwOGRkXkEyXkFqcGc@._V1_SY150_CR5,0,101,150_.jpg"
tt0099348,"https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX101_CR0,0,101,150_.jpg"
tt0099429,"https://m.media-amazon.com/images/M/MV5BMjkwNzc5NjUtNmJkNy00NzI2LWFlMGMtMGMzNTlhZWIzNzI1XkEyXkFqcGc@._V1_SY150_CR7,0,101,150_.jpg"
tt0099467,"https://m.media-amazon.com/images/M/MV5BOWMxMzM5ZDktYjIxMC00MDBlLWI4N2EtMzdlYjViMzM1OWMzXkEyXkFqcGc@._V1_SY150_CR3,0,101,150_.jpg"
