tid,title,year,runtime
tt0096775,Agneekaal,1990,161
tt0097416,Kaadhalan,1994,168
tt0097848,Mother,1990,200
tt0098461,Thanedaar,1990,151
tt0098976,Aaj Ka Arjun,1990,164
tt0098999,Agneepath,1990,174
tt0099040,An Angel at My Table,1990,158
tt0099080,Baaghi: A Rebel for Love,1990,157
tt0099111,La batalla de los Tres Reyes,1990,245
tt0099273,City Life,1990,251
tt0099338,Decisive Engagement: The Liaoxi Shenyang Campaign,1991,222
tt0099339,Da Jue Zhan II: Huai Hai Zhan Yi,1991,219
tt0099340,Da Jue Zhan III: Ping Jin Zhan Yi,1992,218
tt0099348,Dances with Wolves,1990,181
tt0099429,Dil,1990,172
tt0099467,Drishti,1990,171
tt0099511,Erfolg,1991,265
tt0099651,Ghar Ho To Aisa,1990,155
tt0099652,Ghayal,1990,163
tt0099674,The Godfather Part III,1990,162
tt0099869,Izzatdaar,1990,164
tt0099943,Kishen Kanhaiya,1990,160
tt0100002,Lekin...,1990,171
tt0100092,Maha-Sangram,1990,159
tt0100322,The Executioner,1990,166
tt0100401,Pratibandh,1990,159
tt0101284,Akayla,1991,180
tt0101373,At Play in the Fields of the Lord,1991,189
tt0101428,La Belle Noiseuse,1991,238
tt0101437,Beta,1992,171
tt0101458,Until the End of the World,1991,287
tt0101649,Thalapathi,1991,157
tt0101732,Dil Aashna Hai (...The Heart Knows),1992,164
tt0101733,Dil Hai Ki Manta Nahin,1991,154
tt0101814,Les enfants du vent,1991,162
tt0101985,A Brighter Summer Day,1991,237
tt0102071,Hum,1991,184
tt0102138,JFK,1991,189
tt0102200,Khel,1992,152
tt0102201,Khoon Ka Karz,1991,151
tt0102258,Lamhe,1991,187
tt0102421,Mother,1991,157
tt0102513,Narasimha,1991,214
tt0102645,Patthar Ke Phool,1991,155
tt0102701,Prahaar: The Final Attack,1991,151
tt0102825,Saajan,1991,193
tt0102835,Sanam Bewafa,1991,160
tt0102844,Saudagar,1991,213
tt0102846,Saugandh,1991,153
tt0103190,Van Gogh,1991,158
tt0103594,1492: Conquest of Paradise,1992,154
tt0103689,Angaar,1992,176
tt0103790,La belle histoire,1992,210
tt0103799,Besy,1992,153
tt0104224,The Fall of Otrar,1992,176
tt0104258,La febre d'Or,1993,161
tt0104323,Geet,1992,151
tt0104350,The Best Intentions,1992,182
tt0104394,"Haruka, nosutarujii",1993,165
tt0104404,Heer Ranjha,1992,159
tt0104507,Indochine,1992,160
tt0104509,Infinity,1992,206
tt0104548,Jeevan Ek Sanghursh,1990,159
tt0104561,Jo Jeeta Wohi Sikandar,1992,174
tt0104607,Khuda Gawah,1992,193
tt0104645,Kshatriya,1993,187
tt0104797,Malcolm X,1992,202
tt0104941,Muqabla,1993,162
tt0105166,Prem Deewane,1992,160
tt0105315,Sapne Saajan Ke,1992,162
tt0105323,Scent of a Woman,1992,156
tt0105394,Shola Aur Shabnam,1992,165
tt0105599,Tirangaa,1992,168
tt0105866,Yalgaar,1992,192
tt0105895,Zhou Enlai,1991,164
tt0106221,Aadmi Khilona Hai,1993,158
tt0106270,Anari,1993,171
tt0106287,Anmol,1993,163
tt0106332,Farewell My Concubine,1993,171
tt0106333,Baazigar,1993,175
tt0106469,"Blood In, Blood Out",1993,180
tt0106653,Dalaal,1993,160
tt0106655,Damini,1993,175
tt0106724,Dil Hi To Hai,1992,164
tt0106725,Dil Tera Aashiq,1993,151
tt0106918,The Firm,1993,154
tt0106986,Gardish,1993,153
tt0107002,Germinal,1993,160
tt0107007,Gettysburg,1993,271
tt0107039,Grand bonheur,1993,165
tt0107166,Hum Hain Rahi Pyar Ke,1993,163
tt0107259,Joan the Maid 1: The Battles,1994,160
tt0107260,Joan the Maid 2: The Prisons,1994,176
tt0107295,"Justinien Trouvé, ou le bâtard de Dieu",1993,160
tt0107321,King Uncle,1993,171
tt0107446,Louis: The Child King,1993,160
tt0107777,Parampara,1993,155
tt0107986,Roop Ki Rani Choron Ka Raja,1993,190
tt0108052,Schindler's List,1993,195
tt0108122,Short Cuts,1993,188
tt0108144,Sir,1993,151
tt0108167,Smoking/No Smoking,1993,298
tt0108471,Abraham's Valley,1993,187
tt0108602,Hill of No Return,1992,165
tt0109010,1942: A Love Story,1994,157
tt0109116,Andaz,1994,167
tt0109134,Anjaam,1994,170
tt0109325,Brahma,1994,152
tt0109555,Darr,1993,178
tt0109691,A Borrowed Life,1994,167
tt0109900,Giorgino,1994,177
tt0109922,Gopi Kishan,1994,161
tt0110057,Hoop Dreams,1994,170
tt0110076,Hum Aapke Hain Koun..!,1994,206
tt0110140,Insaniyat,1994,180
tt0110222,Kabhi Haan Kabhi Naa,1994,158
tt0110254,Khuddar,1994,167
tt0110438,Main Khiladi Tu Anari,1994,175
tt0110546,Mohra,1994,177
tt0110591,Mukta,1995,154
tt0110881,Paramaatma,1994,152
tt0110894,The Beginning and the End,1993,188
tt0110912,Pulp Fiction,1994,154
tt0110942,Raja Babu,1994,161
tt0110963,Queen Margot,1994,161
tt0111067,Sangdil Sanam,1994,156
tt0111129,La serva amorosa,1996,166
tt0111341,Satantango,1994,439
tt0111348,The Taebaek Mountains,1994,168
tt0111625,Vijaypath,1994,163
tt0111756,Wyatt Earp,1994,191
tt0111760,The Great Conqueror's Concubine,1994,165
tt0111780,Yaar Gaddar,1994,155
tt0111793,Yeh Dillagi,1994,155
tt0112313,Akele Hum Akele Tum,1995,160
tt0112359,Andolan,1995,192
tt0112485,Betaaj Badshah,1994,166
tt0112573,Braveheart,1995,178
tt0112641,Casino,1995,178
tt0112710,God's Comedy,1995,170
tt0112870,Dilwale Dulhania Le Jayenge,1995,181
tt0112916,Dushmani: A Violent Love Story,1995,156
tt0112964,"England, My England",1995,153
tt0113277,Heat,1995,170
tt0113457,Janam Kundli,1995,157
tt0113523,Kamikaze Taxi,1995,169
tt0113526,Karan Arjun,1995,175
tt0113530,Karuththamma,1994,153
tt0113576,Kristin Lavransdatter,1995,180
tt0113581,Just a Girl,1995,170
tt0113828,Les Misérables,1995,175
tt0113913,Naajayaz,1995,157
tt0113987,Nixon,1995,192
tt0114175,Prem,1995,167
tt0114225,Raghuveer,1995,151
tt0114230,Raja,1995,168
tt0114726,Trimurti,1995,187
tt0114787,Underground,1995,167
tt0114863,Ulysses' Gaze,1995,176
tt0115042,Zamaana Deewana,1995,162
tt0115558,Apne Dam Par,1996,155
tt0115568,Army,1996,153
tt0115616,Bal Bramhachari,1996,163
tt0115751,Breaking the Waves,1996,159
tt0115928,My Sex Life... or How I Got Into an Argument,1996,178
tt0116153,Dushman Duniya Ka,1996,153
tt0116209,The English Patient,1996,162
tt0116391,Gang,2000,167
tt0116402,Die Geschichte einer Vertreibung,1996,180
tt0116407,Ghatak: Lethal,1996,158
tt0116477,Hamlet,1996,242
tt0116480,Hamsun,1996,159
tt0116558,Red Persimmon,1996,168
tt0116597,Slaughter of the Cock,1996,155
tt0116630,Indian,1996,185
tt0116696,Jerusalem,1996,168
tt0116737,Kabhi Na Kabhi,1998,157
tt0116748,Karobaar,2000,180
tt0116763,Khamoshi the Musical,1996,160
tt0116898,Loafer,1996,160
tt0116950,Maachis,1996,160
tt0117374,PremGranth,1996,156
tt0117437,Raja Hindustani,1996,177
tt0117825,Talaashi,1996,157
tt0117827,Tales of Erotica,1996,170
tt0117983,Tu Chor Main Sipahi,1996,153
tt0118607,Amistad,1997,155
tt0118638,Ariane ou l'âge d'or,1997,190
tt0118654,Aunty No. 1,1998,160
tt0118749,Boogie Nights,1997,155
tt0118751,Border,1997,176
tt0118983,Dil To Pagal Hai,1997,180
tt0119161,Frost,1997,270
tt0119314,The Horse Whisperer,1998,169
tt0119396,Jackie Brown,1997,154
tt0119424,Jours de colère,1997,182
tt0119427,Judaai,1997,167
tt0119491,Lahoo Ke Do Rang,1997,172
tt0119643,Meet Joe Black,1998,178
tt0119668,Midnight in the Garden of Good and Evil,1997,155
tt0119721,Mrityudaata,1997,158
tt0119861,Pardes,1997,191
tt0119925,The Postman,1997,177
tt0120117,Shikari,2000,160
tt0120125,The Barber of Siberia,1998,180
tt0120338,Titanic,1997,194
tt0120456,Virasat,1997,165
tt0120538,The Opium War,1997,153
tt0120540,Yes Boss,1997,163
tt0120551,Ziddi,1997,170
tt0120603,Beloved,1998,172
tt0120663,Eyes Wide Shut,1999,159
tt0120665,Secret Defense,1998,170
tt0120689,The Green Mile,1999,189
tt0120731,The Legend of 1900,1998,169
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178
tt0120815,Saving Private Ryan,1998,169
tt0120863,The Thin Red Line,1998,170
tt0120866,Titus,1999,162
tt0121263,"Facundo, the Tiger's Shadow",1995,200
tt0121352,Henna,1991,184
tt0121395,Imtihaan,1994,152
tt0121989,Baazi,1995,183
tt0126234,Chamatkar,1992,171
tt0126871,Deewana,1992,185
tt0128378,With Fire and Sword,1999,175
tt0129563,Vremya tantsora,1998,158
tt0130348,Vinashak - Destroyer,1998,159
tt0130350,Vishwatma,1992,174
tt0130748,The Battle of Canudos,1997,170
tt0133024,Ishq,1997,161
tt0135515,Krishna,1996,156
tt0135641,Sapoot,1996,158
tt0136153,English Babu Desi Mem,1996,170
tt0136352,Koyla,1997,166
tt0138104,The Sleep Room,1998,193
tt0139500,In Vanda's Room,2000,171
tt0139859,Annamalai,1992,164
tt0139861,Arunachalam,1997,165
tt0139872,Avvai Shanmugi,1996,161
tt0140090,Guna,1991,167
tt0140303,Kalki,1996,161
tt0140348,Mahanadi,1994,162
tt0140352,The Insider,1999,157
tt0140399,Muthu,1995,156
tt0140412,Nammavar,1994,178
tt0140534,Sathi Leelavathi,1995,151
tt0141874,Passion,1998,155
tt0145503,Sunshine,1999,181
tt0146838,Any Given Sunday,1999,162
tt0149568,Aa Ab Laut Chalen,1999,177
tt0149573,Aashiqui,1990,152
tt0150992,Straight from the Heart,1999,188
tt0151090,Jaan,1996,170
tt0151121,Jeans,1998,175
tt0151150,Josh,2000,162
tt0151568,Topsy-Turvy,1999,160
tt0152278,Sanam,1997,152
tt0152836,Taal,1999,179
tt0154167,Azhakan,1991,154
tt0154673,Jathi Malli,1993,159
tt0154982,Oru Veedu Iru Vaasal,1990,155
tt0155073,Pyar Ka Karz,1990,161
tt0155499,Antarnaad,1991,160
tt0155953,Pelli Pustakam,1991,151
tt0156026,Rossini! Rossini!,1991,155
tt0156628,"Island, Alicia",1998,180
tt0156982,Saathi,1991,175
tt0158572,Daan Pratidaan,1992,153
tt0158717,Gold Fever in Lapland,1999,158
tt0159365,Cold Mountain,2003,154
tt0160776,The Boxer 2,1997,182
tt0162563,Puraido: Unmei no toki,1998,161
tt0162866,The Emperor and the Assassin,1998,162
tt0164538,Dil Se..,1998,163
tt0167260,The Lord of the Rings: The Return of the King,2003,201
tt0167261,The Lord of the Rings: The Two Towers,2002,179
tt0169102,Lagaan: Once Upon a Time in India,2001,224
tt0172089,Aatank Hi Aatank,1995,155
tt0172234,Chaahat,1996,151
tt0172487,The Gentleman,1994,161
tt0172495,Gladiator,2000,155
tt0172519,Guddu,1995,160
tt0172622,Zahreelay,1990,163
tt0172684,Kuch Kuch Hota Hai,1998,185
tt0172704,Lal Baadshah,1999,180
tt0172761,Major Saab,1998,165
tt0173080,Pyaar Kiya To Darna Kya,1998,162
tt0173081,Pyaar To Hona Hi Tha,1998,156
tt0173156,Saajan Ka Ghar,1994,153
tt0173283,Swarg,1990,160
tt0174240,Stalingrad,1990,196
tt0175880,Magnolia,1999,188
tt0176415,The Grandfather,1998,151
tt0176694,The Tragedy of Man,2011,160
tt0177483,Aadmi,1993,153
tt0178392,Droh Kaal,1994,162
tt0178562,Hazaar Chaurasi Ki Maa,1998,186
tt0182251,When One Falls in Love,1998,154
tt0183056,Esther Kahn,2000,157
tt0183589,Oglinda,1994,160
tt0184030,Wolfgang A. Mozart,1991,156
tt0185335,Ghulam-E-Musthafa,1997,162
tt0186257,José Rizal,1998,178
tt0187004,Farishtay,1991,193
tt0187115,Kshana Kshanam,1991,158
tt0187227,Laadla,1994,169
tt0187393,The Patriot,2000,165
tt0189142,Marcel Proust's Time Regained,1999,169
tt0189592,Hum Aapke Dil Mein Rehte Hain,1999,168
tt0190419,Ghulam,1998,162
tt0191428,The Setting Sun,1992,152
tt0192082,"Gori, gori, oganche",1994,240
tt0193246,Jaan Se Pyaara,1992,180
tt0194671,Aragon - L'an 2000 n'aura pas lieu,1999,187
tt0195231,Satya,1998,170
tt0196635,International Khiladi,1999,175
tt0200087,Sarfarosh,1999,174
tt0200191,As White as in Snow,2001,154
tt0203402,The City of Prodigies,1999,156
tt0204761,Fidelity,2000,166
tt0205380,Sanam Teri Kasam,2009,170
tt0206921,Mann - Soul's Heart,1999,160
tt0207341,Biwi No. 1,1999,159
tt0207415,Doli Saja Ke Rakhna,1998,170
tt0209263,Pyaar Koi Khel Nahin,1999,165
tt0210609,China Gate,1998,175
tt0210920,Prem Aggan,1998,168
tt0211634,Soldier,1998,156
tt0213149,Pearl Harbor,2001,183
tt0213890,Mohabbatein,2000,216
tt0213969,Padaiyappa,1999,181
tt0214073,Sangamam,1999,153
tt0214178,Sooryavansham,1999,168
tt0214853,Killer,1992,160
tt0215245,Thakshak,1999,163
tt0216689,Les Destinées,2000,180
tt0216707,Dil Kya Kare,1999,158
tt0216817,Hum Saath-Saath Hain,1999,177
tt0217351,Dahek: A Burning Passion,1999,155
